T_K,status,rho_l_molm3,rho_v_molm3,p_Pa,h_l_Jmol,h_v_Jmol,r_P,r_mu,iterations,fallback_used,notes
306.99497487437185,CONVERGED,4037.9118786298864,423.21040350004944,905644.3058246253,63652.40560232086,46685.072624872766,3.727781769584568e-15,0.0,5,False,attempt=1; line-search rejected step
307.6582914572864,CONVERGED,4039.7379473930673,412.2690122435303,888850.8804725354,63193.533628385914,46780.76514266792,0.0,1.9199553293069593e-14,5,False,attempt=1; line-search rejected step
308.321608040201,CONVERGED,4041.4039301206617,402.14004904922365,873166.5596193825,62606.624486611574,46874.481144452395,6.666272347722571e-16,6.386082593470308e-15,5,False,attempt=1; line-search rejected step
308.9849246231156,CONVERGED,4042.9198712103516,392.8147824479544,858634.7851300663,61893.622312321895,46966.25527823182,5.016529707614986e-15,7.080414671787163e-16,6,False,attempt=1; line-search rejected step
309.64824120603015,CONVERGED,4044.2947617207988,384.283369829836,845292.7284537142,61057.716304190966,47056.12463833711,1.239497112862937e-15,7.065247279111475e-16,7,False,attempt=1; line-search rejected step
310.3115577889447,CONVERGED,4045.536650719699,376.5352023575194,833171.9147977019,60103.3113098231,47144.12793360553,1.0199957946769813e-14,7.050144729544778e-16,5,False,attempt=1; line-search rejected step
310.9748743718593,CONVERGED,4046.6527422295194,369.5592229202738,822298.8621662783,59035.98092678354,47230.30472987743,5.0966282194881536e-15,0.0,5,False,attempt=1; line-search rejected step
311.63819095477385,CONVERGED,4047.6494796830657,363.3442162118958,812695.7194557576,57862.404056323234,47314.69476822961,1.432458902390864e-16,0.0,4,False,attempt=1; line-search rejected step
312.30150753768845,CONVERGED,4048.532619560969,357.8790703847259,804380.8896429157,56590.2861482763,47397.33735939555,7.959963722315424e-15,0.0,9,False,attempt=1; line-search rejected step
312.964824120603,CONVERGED,4049.3072956668047,353.15301008995704,797369.6260435252,55228.26664301739,47478.27085391946,1.0511941887139017e-14,6.990374716423397e-16,4,False,attempt=1; line-search rejected step
313.6281407035176,CONVERGED,4049.9780753026407,349.1558010471944,791674.5915762046,53785.81434466206,47557.53218677894,1.0293462256583016e-15,6.975590228463261e-16,4,False,attempt=1; line-search rejected step
314.29145728643215,CONVERGED,4050.549008437069,345.87792658364276,787306.3728755367,52273.11264481772,47635.15649450709,2.957306731856942e-15,0.0,5,False,attempt=1; line-search rejected step
314.95477386934675,CONVERGED,4051.0236708076573,343.31073683960267,784273.9429095492,50700.93665533588,47711.17680225651,1.3953084060315312e-14,6.94620807548103e-16,4,False,attempt=1; line-search rejected step
315.6180904522613,CONVERGED,4051.4052017684417,341.44657154884976,782585.0674334938,49080.52440021915,47785.62377777531,6.545325707764589e-15,1.3863219250377313e-15,5,False,attempt=1; line-search rejected step
316.2814070351759,CONVERGED,4051.696337578621,340.2788574704222,782246.652133077,47423.44426085337,47858.52554890495,8.334018438469818e-15,6.917072407671578e-16,4,False,attempt=1; line-search rejected step
316.94472361809045,CONVERGED,4051.899440729185,339.8021816747056,783265.0286674568,45741.46086612042,47929.9075809503,1.7835391735794216e-15,1.380519207695488e-15,7,False,attempt=1; line-search rejected step
317.608040201005,CONVERGED,4052.0165258180446,340.0123419755993,785646.179014359,44046.40157177007,47999.7926101021,3.259911584379712e-15,0.0,4,False,attempt=1; line-search rejected step
